corner,vdd_V,temp_C,select_state,selected_input,output_high_V,output_low_V,voh_error_V,vol_error_V,voh_accuracy_percent,vol_accuracy_percent,prop_delay_ps,rise_time_ps,fall_time_ps,functionality,status
FF,1.80,-40,0,I0,1.8003,4.27927e-09,-0.000302,4.27927e-09,100.016778,100.000000,52.9581,170.063,103.83,PASS,PASS
FF,1.80,-40,1,I1,1.80005,-4.07064e-07,-5.5e-05,-4.07064e-07,100.003056,100.000023,54.5964,171.373,102.371,PASS,PASS
FF,1.80,27,0,I0,1.80029,5.52167e-09,-0.000286,5.52167e-09,100.015889,100.000000,53.7274,167.334,113.572,PASS,PASS
FF,1.80,27,1,I1,1.80003,-1.01096e-05,-3.4e-05,-1.01096e-05,100.001889,100.000562,54.8901,168.649,112.034,PASS,PASS
FF,1.80,125,0,I0,1.79978,4.56045e-08,0.00022,4.56045e-08,99.987778,99.999997,56.6199,165.994,128.471,PASS,PASS
FF,1.80,125,1,I1,1.79953,-2.98827e-06,0.000471,-2.98827e-06,99.973833,100.000166,55.9005,167.433,126.754,PASS,PASS
FF,1.98,-40,0,I0,1.98033,6.79339e-09,-0.000327,6.79339e-09,100.016515,100.000000,46.5157,156.227,94.6751,PASS,PASS
FF,1.98,-40,1,I1,1.98006,6.79339e-09,-6e-05,6.79339e-09,100.003030,100.000000,47.9143,157.445,93.3386,PASS,PASS
FF,1.98,27,0,I0,1.9803,8.81716e-09,-0.000299,8.81716e-09,100.015101,100.000000,48.5339,154.668,103.93,PASS,PASS
FF,1.98,27,1,I1,1.98003,-8.26828e-06,-3.2e-05,-8.26828e-06,100.001616,100.000418,48.9296,155.865,102.528,PASS,PASS
FF,1.98,125,0,I0,1.97965,4.75513e-08,0.000347,4.75513e-08,99.982475,99.999998,51.6809,153.7,118.539,PASS,PASS
FF,1.98,125,1,I1,1.97939,-4.26931e-06,0.000609,-4.26931e-06,99.969242,100.000216,50.5649,154.97,116.977,PASS,PASS
